Partida,Data,Adversário,Competição,Minutos Jogados (X),Finalizações Certas (Y),Gols,Assistências
1,31/01/2026,Wolves,Premier League,23,0,0,1
2,07/02/2026,Aston Villa,Premier League,86,1,1,0
3,10/02/2026,Everton,Premier League,89,1,1,0
4,21/02/2026,West Ham,Premier League,90,1,0,0
5,28/02/2026,Sunderland,Premier League,90,0,0,0
6,03/03/2026,Brentford,Premier League,73,0,0,0
7,14/03/2026,Burnley,Premier League,86,0,0,0
8,20/03/2026,Manchester United,Premier League,86,1,0,0
9,11/04/2026,Arsenal,Premier League,70,0,0,0
10,18/04/2026,Newcastle,Premier League,77,0,0,1
11,22/04/2026,Leeds United,Premier League,24,2,1,0
12,03/05/2026,Crystal Palace,Premier League,85,1,1,0
13,09/05/2026,Fulham,Premier League,79,1,1,0
14,19/05/2026,Manchester City,Premier League,84,0,0,0
15,24/05/2026,Nottingham Forest,Premier League,73,0,0,0
TOTAL,,,,1.111 min,8,5,2